15	886152513601	B12196008 	ESTABLISHED	11	BERRICS MENS ACCESSORIES	BLK 	BLACK	XX	ONE 	22	0			
15	886152513618	B12196008 	ESTABLISHED	11	BERRICS MENS ACCESSORIES	NVY 	ACADEMY NAVY	XX	ONE 	22	0			
15	886152628367	B121S18001	MODELO	01	BERRICS MENS	BLK 	BLACK	XX	XXS 	22	0			
15	886152628374	B121S18001	MODELO	01	BERRICS MENS	BLK 	BLACK	XX	XS  	22	0			
15	886152628381	B121S18001	MODELO	01	BERRICS MENS	BLK 	BLACK	XX	S   	22	0			
15	886152628398	B121S18001	MODELO	01	BERRICS MENS	BLK 	BLACK	XX	M   	22	0			
15	886152628404	B121S18001	MODELO	01	BERRICS MENS	BLK 	BLACK	XX	L   	22	0			
15	886152628411	B121S18001	MODELO	01	BERRICS MENS	BLK 	BLACK	XX	XL  	22	0			
15	886152628428	B121S18001	MODELO	01	BERRICS MENS	BLK 	BLACK	XX	XXL 	22	0			
15	886152628435	B121S18001	MODELO	01	BERRICS MENS	BLK 	BLACK	XX	XXXL	22	0			
15	886152569592	B121S18001	MODELO	01	BERRICS MENS	WHT 	WHITE	XX	XXS 	22	0			
15	886152569608	B121S18001	MODELO	01	BERRICS MENS	WHT 	WHITE	XX	XS  	22	0			
15	886152569615	B121S18001	MODELO	01	BERRICS MENS	WHT 	WHITE	XX	S   	22	0			
15	886152569622	B121S18001	MODELO	01	BERRICS MENS	WHT 	WHITE	XX	M   	22	0			
15	886152569639	B121S18001	MODELO	01	BERRICS MENS	WHT 	WHITE	XX	L   	22	0			
15	886152569646	B121S18001	MODELO	01	BERRICS MENS	WHT 	WHITE	XX	XL  	22	0			
15	886152569653	B121S18001	MODELO	01	BERRICS MENS	WHT 	WHITE	XX	XXL 	22	0			
15	886152569660	B121S18001	MODELO	01	BERRICS MENS	WHT 	WHITE	XX	XXXL	22	0			
15	886152627162	B121S18002	FULL SCREEN	01	BERRICS MENS	HGR 	HTR GREY	XX	XXS 	20	0			
15	886152627179	B121S18002	FULL SCREEN	01	BERRICS MENS	HGR 	HTR GREY	XX	XS  	20	0			
15	886152627186	B121S18002	FULL SCREEN	01	BERRICS MENS	HGR 	HTR GREY	XX	S   	20	0			
15	886152627193	B121S18002	FULL SCREEN	01	BERRICS MENS	HGR 	HTR GREY	XX	M   	20	0			
15	886152627209	B121S18002	FULL SCREEN	01	BERRICS MENS	HGR 	HTR GREY	XX	L   	20	0			
15	886152627216	B121S18002	FULL SCREEN	01	BERRICS MENS	HGR 	HTR GREY	XX	XL  	20	0			
15	886152627223	B121S18002	FULL SCREEN	01	BERRICS MENS	HGR 	HTR GREY	XX	XXL 	20	0			
15	886152627230	B121S18002	FULL SCREEN	01	BERRICS MENS	HGR 	HTR GREY	XX	XXXL	20	0			
15	886152569677	B121S18002	FULL SCREEN	01	BERRICS MENS	RED 	RED	XX	XXS 	20	0			
15	886152569684	B121S18002	FULL SCREEN	01	BERRICS MENS	RED 	RED	XX	XS  	20	0			
15	886152569691	B121S18002	FULL SCREEN	01	BERRICS MENS	RED 	RED	XX	S   	20	0			
15	886152569707	B121S18002	FULL SCREEN	01	BERRICS MENS	RED 	RED	XX	M   	20	0			
15	886152569714	B121S18002	FULL SCREEN	01	BERRICS MENS	RED 	RED	XX	L   	20	0			
15	886152569721	B121S18002	FULL SCREEN	01	BERRICS MENS	RED 	RED	XX	XL  	20	0			
15	886152569738	B121S18002	FULL SCREEN	01	BERRICS MENS	RED 	RED	XX	XXL 	20	0			
15	886152569745	B121S18002	FULL SCREEN	01	BERRICS MENS	RED 	RED	XX	XXXL	20	0			
15	886152627247	B121S18002	FULL SCREEN	01	BERRICS MENS	WHT 	WHITE	XX	XXS 	20	0			
15	886152627254	B121S18002	FULL SCREEN	01	BERRICS MENS	WHT 	WHITE	XX	XS  	20	0			
15	886152627261	B121S18002	FULL SCREEN	01	BERRICS MENS	WHT 	WHITE	XX	S   	20	0			
15	886152627278	B121S18002	FULL SCREEN	01	BERRICS MENS	WHT 	WHITE	XX	M   	20	0			
15	886152627285	B121S18002	FULL SCREEN	01	BERRICS MENS	WHT 	WHITE	XX	L   	20	0			
15	886152627292	B121S18002	FULL SCREEN	01	BERRICS MENS	WHT 	WHITE	XX	XL  	20	0			
15	886152627308	B121S18002	FULL SCREEN	01	BERRICS MENS	WHT 	WHITE	XX	XXL 	20	0			
15	886152627315	B121S18002	FULL SCREEN	01	BERRICS MENS	WHT 	WHITE	XX	XXXL	20	0			
15	886152627322	B121S18003	SEGMENT	01	BERRICS MENS	BLK 	BLACK	XX	XXS 	22	0			
15	886152627339	B121S18003	SEGMENT	01	BERRICS MENS	BLK 	BLACK	XX	XS  	22	0			
15	886152627346	B121S18003	SEGMENT	01	BERRICS MENS	BLK 	BLACK	XX	S   	22	0			
15	886152627353	B121S18003	SEGMENT	01	BERRICS MENS	BLK 	BLACK	XX	M   	22	0			
15	886152627360	B121S18003	SEGMENT	01	BERRICS MENS	BLK 	BLACK	XX	L   	22	0			
15	886152627377	B121S18003	SEGMENT	01	BERRICS MENS	BLK 	BLACK	XX	XL  	22	0			
15	886152627384	B121S18003	SEGMENT	01	BERRICS MENS	BLK 	BLACK	XX	XXL 	22	0			
15	886152627391	B121S18003	SEGMENT	01	BERRICS MENS	BLK 	BLACK	XX	XXXL	22	0			
15	886152569752	B121S18003	SEGMENT	01	BERRICS MENS	GRY 	GREY	XX	XXS 	22	0			
15	886152569769	B121S18003	SEGMENT	01	BERRICS MENS	GRY 	GREY	XX	XS  	22	0			
15	886152569776	B121S18003	SEGMENT	01	BERRICS MENS	GRY 	GREY	XX	S   	22	0			
15	886152569783	B121S18003	SEGMENT	01	BERRICS MENS	GRY 	GREY	XX	M   	22	0			
15	886152569790	B121S18003	SEGMENT	01	BERRICS MENS	GRY 	GREY	XX	L   	22	0			
15	886152569806	B121S18003	SEGMENT	01	BERRICS MENS	GRY 	GREY	XX	XL  	22	0			
15	886152569813	B121S18003	SEGMENT	01	BERRICS MENS	GRY 	GREY	XX	XXL 	22	0			
